about 1,150 employees are covered by the new agreement deere said	the new agreement covers about 1,150 employees deere said
net was aided by a lower income tax rate	a lower income tax rate aided net
the offering series 104 is backed by freddie mac 9 % securities	freddie mac 9 % securities back the offering series 104
the disaster fund is replenished by loan repayments	loan repayments replenish the disaster fund
the bonds are all rated single-a by moody 's investors service inc	moody 's investors service inc does all rated the bonds single-a
the highway system is screwed up by the earthquake mr. engelken said	the earthquake screws the highway system up mr. engelken said
taxpayers ' rights are defined by a growing number of states	a growing number of states defines taxpayers ' rights
remic mortgage securities was launched by a morgan stanley group	a morgan stanley group launched remic mortgage securities
israel was seated by a vote of 95-37 with 15 abstentions	a vote of 95-37 seated israel with 15 abstentions
that was offset by strength elsewhere	strength elsewhere offsetted that
the bleak trade report was played down by the bush administration	the bush administration played the bleak trade report down
the business closed when the owner was murdered by robbers	the business closed when robbers murdered the owner
the notes are rated mig-1 by moody 's investors service inc	moody 's investors service inc rats the notes mig-1
the offering series 1989-83 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-83
the offering series 1989-86 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-86
last year 's results were hurt by 41.3 million in restructuring charges	41.3 million in restructuring charges hurt last year 's results
the issue is backed by freddie mac 8 1\/2 % securities	freddie mac 8 1\/2 % securities back the issue
this legislation was not drafted by a handful of democratic do-gooders	a handful of democratic do-gooders did not drafted this legislation
mr. bauman a conservative says he was deserted by the right wing	mr. bauman a conservative says the right wing deserted him
the accident was caused by faulty operation of a valve	faulty operation of a valve caused the accident
the difference is magnified by time too	time magnifies the difference too
the name maidenform was coined by a third business partner enid bissett	a third business partner enid bissett coined the name maidenform
most bills are drafted by bureaucrats not politicians	bureaucrats not politicians draft most bills
the largest suburban propane was already owned by quantum	quantum owned the largest suburban propane
transcanada is 49.1 % owned by montreal-based holding company bce inc	montreal-based holding company bce inc 49.1 % transcanada owns
each rothschild bank is linked by family ties and cross-ownership	family ties and cross-ownership links each rothschild bank
the offering series 1989-85 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-85
the futures halt was even assailed by big board floor traders	big board floor traders assailed the futures halt
leverage is used only by some of the closed-end funds	some of the closed-end funds use leverage only
the offering series 1989-84 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-84
it is 38.5 % owned by canadian express another holding company	canadian express another holding company 38.5 % it owns
that offer was endorsed by the shareholders committee	the shareholders committee endorsed that offer
more than three-fourths of poor black families were headed by women	women headed more than three-fourths of poor black families
a natural gas rule was struck down by a federal appeals court	a federal appeals court struck a natural gas rule down
his melodious confutatis was smoothly sung by bass brian matthews	bass brian matthews smoothly his melodious confutatis sang
nasdaq 's gain was led by its biggest industrial stocks	its biggest industrial stocks led nasdaq 's gain
traders said the futures buying was finely calculated by program traders	traders said program traders finely the futures buying calculated
mid-sized companies were most affected by talk of layoffs or plant closings	talk of layoffs or plant closings most mid-sized companies affected
two new remics totaling 900 million were announced by freddie mac yesterday	freddie mac announced two new remics totaling 900 million yesterday
but then it was acquired by household international inc	but then household international inc acquired it
some traders said the high-yield market was helped by active institutional buying	some traders said active institutional buying helped the high-yield market
rmi titanium is owned jointly by usx and quantum chemical corp	usx and quantum chemical corp owns rmi titanium jointly
even the beloved dallas cowboys were bought by an arkansas oil man	an arkansas oil man bought even the beloved dallas cowboys
share earnings are reported on a fully diluted basis by company tradition	company tradition reports share earnings on a fully diluted basis
fittingly the tela accords were nicknamed by hondurans the dodd plan	fittingly hondurans nicknamed the tela accords the dodd plan
aflatoxin is released by molds during grain and seed storage	molds release aflatoxin during grain and seed storage
completion of the project is expected by mid-1992	mid-1992 expects completion of the project
the issue is backed by fannie mae 9 % securitiess	fannie mae 9 % securitiess back the issue
separately century bank phoenix ariz. was closed by arizona banking officials	separately arizona banking officials closed century bank phoenix ariz.
the insured bonds are rated triple-a by moody 's and s&p	moody 's and s&p rats the insured bonds triple-a
this action was defended by the canadian government on conservation grounds	the canadian government defended this action on conservation grounds
drexel is owed 20 million by the partnership	the partnership owes drexel 20 million
the offering series 109 is backed by freddie mac 10 % securities	freddie mac 10 % securities back the offering series 109
these increases were partly offset by lower trading-related income the bank said	lower trading-related income partly these increases offsetted the bank said
maybe they were hidden by all the people	maybe all the people hid them
gray was advised by goldman sachs and merrill lynch	goldman sachs and merrill lynch advised gray
bond market analysts say the institutional selling was triggered by several factors	bond market analysts say several factors triggered the institutional selling
a number of developments were negatively interpreted by traders	traders interpretted a number of developments
all 3.35 billion in debt for the deal was supplied by banks	banks supplyed all 3.35 billion in debt for the deal
the charter was approved by the ec commission on sept. 21	the ec commission approved the charter on sept. 21
